F4JI44-1	locus:2139404	AT4G03090
F4JI72	locus:2125492	AT4G03250
F4JIN3	locus:2127373	AT4G21180
F4JIX9	locus:2119260	AT4G33430
F4JJ15	locus:2134198	AT4G33650
F4JJL0	locus:504955531	AT4G21585
F4JJL0	locus:504955531	AT4G21585
F4JJL3	locus:2119612	AT4G21600
F4JKB6	locus:2141662	AT4G21900
F4JKH6	locus:2133012	AT4G28080
F4JKK0-1	locus:2124251	AT4G34100
F4JKK0-2	locus:2124251	AT4G34100
F4JL11	locus:505006475	AT4G16143
F4JL11	locus:505006475	AT4G16143
F4JL28-1	locus:2120693	AT4G22140
F4JL28-2	locus:2120693	AT4G22140
F4JL28-1	locus:2120693	AT4G22140
F4JLC1	locus:2139850	AT4G28590
F4JLE5	locus:2139564	AT4G34580
F4JLE5	locus:2139564	AT4G34580
F4JLP5	locus:505006477	AT4G16155
F4JLZ6	locus:6532565841	AT4G22755
F4JN35-1	locus:2128013	AT4G35580
F4JNX3-1	locus:504955358	AT4G35987
F4JNY0-2	locus:2135164	AT4G36050
F4JNY0-1	locus:2135164	AT4G36050
F4JP36	locus:2139772	AT4G11720
F4JP48	locus:2130913	AT4G17380
F4JP52-1	locus:2130933	AT4G17410
F4JP52-2	locus:2130933	AT4G17410
F4JP52-2	locus:2130933	AT4G17410
F4JP52-1	locus:2130933	AT4G17410
F4JPW1-2	locus:2118021	AT4G12030
F4JPW1-1	locus:2118021	AT4G12030
F4JPW1-2	locus:2118021	AT4G12030
F4JPW1-2	locus:2118021	AT4G12030
F4JQH3-1	locus:2115370	AT4G36760
F4JQZ3	locus:2121865	AT4G24580
F4JQZ3	locus:2121865	AT4G24580
F4JRB0-2	locus:2115070	AT4G37180
F4JRB0-1	locus:2115070	AT4G37180
F4JRE7	locus:2135803	AT4G12720
F4JRS4	locus:2117358	AT4G24970
F4JS25-1	locus:2126347	AT4G37460
F4JSE7-1	locus:2117134	AT4G19040
F4JSE7-3	locus:2117134	AT4G19040
F4JSH1	locus:2134731	AT4G19180
F4JSH1	locus:2134731	AT4G19180
F4JSH1	locus:2134731	AT4G19180
F4JT76-1	locus:2122945	AT4G19490
F4JT76-1	locus:2122945	AT4G19490
F4JTE7	locus:2117512	AT4G25840
F4JTN2-2	locus:2121763	AT4G38360
F4JTN2-1	locus:2121763	AT4G38360
F4JTP5	locus:2121154	AT4G38470
F4JTS8	locus:2119470	AT4G13750
F4JUI3-2	locus:2120227	AT4G38910
F4JUI3-1	locus:2120227	AT4G38910
F4JUU5-1	locus:2120352	AT4G20310
F4JUY5-1	locus:2131483	AT4G26420
F4JUY5-2	locus:2131483	AT4G26420
F4JVH1	locus:2129840	AT4G14510
F4JVI3	locus:505006461	AT4G14605
F4JVI3	locus:505006461	AT4G14605
F4JVN6	locus:2133039	AT4G20850
F4JW79	locus:2179979	AT5G04290
F4JWB3	locus:2184402	AT5G04540
F4JXF1	locus:2168068	AT5G59980
F4JY12	locus:1006230455	AT5G18525
F4JY24-1	locus:2182978	AT5G18620
F4JY37	locus:2180044	AT5G18700
F4JYC8-2	locus:2182437	AT5G35210
F4JYE9	locus:2177916	AT5G41480
F4JYG0	locus:2160417	AT5G41580
F4JZC2	locus:2153579	AT5G05460
F4JZG9	locus:2177053	AT5G12130
F4JZW1	locus:2157101	AT5G35580
F4JZY1	locus:2152985	AT5G41790
F4JZY1	locus:2152985	AT5G41790
F4K0A6-1	locus:2162550	AT5G54280
F4K0E8-1	locus:2175851	AT5G60600
F4K0E8-2	locus:2175851	AT5G60600
F4K128	locus:2150270	AT5G19310
F4K2A1-1	locus:2153639	AT5G05980
F4K2A1-2	locus:2153639	AT5G05980
F4K2E9	locus:2182340	AT5G13010
F4K2R6-1	locus:2148548	AT5G26920
F4K2R6-2	locus:2148548	AT5G26920
F4K3E4	locus:2161650	AT5G55230
F4K3F4	locus:2173852	AT5G55300
F4K3G5	locus:2173857	AT5G55390
F4K3G5	locus:2173857	AT5G55390
F4K3G5	locus:2173857	AT5G55390
